turn_id,audio_file,pause_index,pause_start,pause_end,label
en__038,audio/en__038.wav,0,6.3,6.4,hold
en__038,audio/en__038.wav,1,7.9,8.1,hold
en__038,audio/en__038.wav,2,10.8,11.7,hold
en__038,audio/en__038.wav,3,14.7,16.091,eot
en__039,audio/en__039.wav,0,3.2,3.9,hold
en__039,audio/en__039.wav,1,5.3,5.7,hold
en__039,audio/en__039.wav,2,7.4,8.702,eot
en__040,audio/en__040.wav,0,3.8,5.108,eot
en__041,audio/en__041.wav,0,4.3,5.574,eot
en__042,audio/en__042.wav,0,12.6,13.4,hold
en__042,audio/en__042.wav,1,14.5,14.8,hold
en__042,audio/en__042.wav,2,18.5,19.0,hold
en__042,audio/en__042.wav,3,19.9,20.4,hold
en__042,audio/en__042.wav,4,21.4,22.731,eot
en__043,audio/en__043.wav,0,1.8,3.086,eot
en__044,audio/en__044.wav,0,7.2,7.6,hold
en__044,audio/en__044.wav,1,8.3,8.8,hold
en__044,audio/en__044.wav,2,10.0,11.302,eot
en__045,audio/en__045.wav,0,6.4,6.7,hold
en__045,audio/en__045.wav,1,10.0,11.283,eot
en__046,audio/en__046.wav,0,6.6,7.6,hold
en__046,audio/en__046.wav,1,8.6,9.3,hold
en__046,audio/en__046.wav,2,9.9,11.307,eot
en__047,audio/en__047.wav,0,4.0,5.345,eot
en__048,audio/en__048.wav,0,5.7,5.9,hold
en__048,audio/en__048.wav,1,6.9,8.16,eot
en__049,audio/en__049.wav,0,4.9,5.1,hold
en__049,audio/en__049.wav,1,9.6,10.1,hold
en__049,audio/en__049.wav,2,12.6,12.9,hold
en__049,audio/en__049.wav,3,16.1,17.2,hold
en__049,audio/en__049.wav,4,17.7,19.096,eot
en__050,audio/en__050.wav,0,6.4,7.821,eot
en__051,audio/en__051.wav,0,8.4,8.8,hold
en__051,audio/en__051.wav,1,9.5,10.1,hold
en__051,audio/en__051.wav,2,10.9,12.257,eot
en__052,audio/en__052.wav,0,9.2,9.5,hold
en__052,audio/en__052.wav,1,11.1,11.3,hold
en__052,audio/en__052.wav,2,12.4,13.672,eot
en__053,audio/en__053.wav,0,3.6,3.7,hold
en__053,audio/en__053.wav,1,8.2,9.638,eot
en__054,audio/en__054.wav,0,4.6,4.9,hold
en__054,audio/en__054.wav,1,5.6,6.955,eot
en__055,audio/en__055.wav,0,9.5,10.786,eot
en__056,audio/en__056.wav,0,4.0,5.325,eot
en__057,audio/en__057.wav,0,6.0,7.286,eot
en__058,audio/en__058.wav,0,1.7,3.042,eot
en__059,audio/en__059.wav,0,2.4,2.9,hold
en__059,audio/en__059.wav,1,3.7,3.9,hold
en__059,audio/en__059.wav,2,4.9,6.307,eot
en__060,audio/en__060.wav,0,5.3,5.5,hold
en__060,audio/en__060.wav,1,6.8,8.203,eot
en__061,audio/en__061.wav,0,4.0,4.3,hold
en__061,audio/en__061.wav,1,5.1,5.4,hold
en__061,audio/en__061.wav,2,8.8,10.159,eot
en__062,audio/en__062.wav,0,2.2,3.572,eot
en__063,audio/en__063.wav,0,7.4,7.7,hold
en__063,audio/en__063.wav,1,11.5,12.927,eot
en__064,audio/en__064.wav,0,2.8,3.4,hold
en__064,audio/en__064.wav,1,4.0,5.391,eot
en__065,audio/en__065.wav,0,2.4,2.8,hold
en__065,audio/en__065.wav,1,4.1,4.5,hold
en__065,audio/en__065.wav,2,5.7,7.034,eot
en__066,audio/en__066.wav,0,2.8,3.0,hold
en__066,audio/en__066.wav,1,3.8,5.103,eot
en__067,audio/en__067.wav,0,3.9,4.4,hold
en__067,audio/en__067.wav,1,7.9,8.1,hold
en__067,audio/en__067.wav,2,10.6,11.918,eot
en__068,audio/en__068.wav,0,5.1,5.2,hold
en__068,audio/en__068.wav,1,15.1,15.6,hold
en__068,audio/en__068.wav,2,16.5,17.897,eot
en__069,audio/en__069.wav,0,8.4,8.8,hold
en__069,audio/en__069.wav,1,10.3,11.742,eot
en__070,audio/en__070.wav,0,10.4,10.9,hold
en__070,audio/en__070.wav,1,12.0,12.8,hold
en__070,audio/en__070.wav,2,13.4,14.3,hold
en__070,audio/en__070.wav,3,15.0,16.7,hold
en__070,audio/en__070.wav,4,17.8,18.5,hold
en__070,audio/en__070.wav,5,20.3,20.6,hold
en__070,audio/en__070.wav,6,22.0,23.384,eot
en__071,audio/en__071.wav,0,5.3,6.703,eot
en__072,audio/en__072.wav,0,6.6,7.851,eot
en__073,audio/en__073.wav,0,4.6,5.4,hold
en__073,audio/en__073.wav,1,7.8,9.054,eot
en__074,audio/en__074.wav,0,3.2,4.5,eot
en__075,audio/en__075.wav,0,11.0,12.438,eot
en__076,audio/en__076.wav,0,2.2,3.594,eot
en__077,audio/en__077.wav,0,4.6,5.2,hold
en__077,audio/en__077.wav,1,7.3,7.4,hold
en__077,audio/en__077.wav,2,10.2,11.562,eot
en__078,audio/en__078.wav,0,10.7,12.015,eot
en__079,audio/en__079.wav,0,3.2,3.4,hold
en__079,audio/en__079.wav,1,7.5,8.949,eot
en__080,audio/en__080.wav,0,8.9,9.5,hold
en__080,audio/en__080.wav,1,10.7,12.6,hold
en__080,audio/en__080.wav,2,14.3,14.5,hold
en__080,audio/en__080.wav,3,15.9,16.2,hold
en__080,audio/en__080.wav,4,17.3,18.4,hold
en__080,audio/en__080.wav,5,19.6,20.962,eot
en__081,audio/en__081.wav,0,9.5,10.1,hold
en__081,audio/en__081.wav,1,15.6,16.5,hold
en__081,audio/en__081.wav,2,17.4,18.1,hold
en__081,audio/en__081.wav,3,19.3,20.7,hold
en__081,audio/en__081.wav,4,21.6,22.929,eot
en__082,audio/en__082.wav,0,3.3,3.9,hold
en__082,audio/en__082.wav,1,5.3,6.711,eot
en__083,audio/en__083.wav,0,3.3,3.4,hold
en__083,audio/en__083.wav,1,5.9,6.4,hold
en__083,audio/en__083.wav,2,7.8,9.096,eot
en__084,audio/en__084.wav,0,3.5,4.897,eot
en__085,audio/en__085.wav,0,4.9,6.302,eot
en__086,audio/en__086.wav,0,7.8,8.0,hold
en__086,audio/en__086.wav,1,10.1,10.5,hold
en__086,audio/en__086.wav,2,13.1,14.42,eot
en__087,audio/en__087.wav,0,7.0,8.359,eot
en__088,audio/en__088.wav,0,7.0,7.3,hold
en__088,audio/en__088.wav,1,9.8,11.088,eot
en__089,audio/en__089.wav,0,10.5,11.3,hold
en__089,audio/en__089.wav,1,12.7,14.142,eot
en__090,audio/en__090.wav,0,11.1,11.7,hold
en__090,audio/en__090.wav,1,12.2,13.8,hold
en__090,audio/en__090.wav,2,16.4,16.8,hold
en__090,audio/en__090.wav,3,20.2,21.592,eot
en__091,audio/en__091.wav,0,0.6,3.6,hold
en__091,audio/en__091.wav,1,5.9,6.5,hold
en__091,audio/en__091.wav,2,13.5,13.8,hold
en__091,audio/en__091.wav,3,18.1,18.4,hold
en__091,audio/en__091.wav,4,19.3,19.7,hold
en__091,audio/en__091.wav,5,23.3,23.6,hold
en__091,audio/en__091.wav,6,25.4,25.5,hold
en__091,audio/en__091.wav,7,33.5,34.837,eot
en__092,audio/en__092.wav,0,3.4,3.7,hold
en__092,audio/en__092.wav,1,4.7,6.034,eot
en__093,audio/en__093.wav,0,4.7,6.1,hold
en__093,audio/en__093.wav,1,9.6,10.4,hold
en__093,audio/en__093.wav,2,13.5,14.0,hold
en__093,audio/en__093.wav,3,16.1,17.3,hold
en__093,audio/en__093.wav,4,18.6,19.888,eot
en__094,audio/en__094.wav,0,3.6,3.9,hold
en__094,audio/en__094.wav,1,5.2,6.601,eot
en__095,audio/en__095.wav,0,14.8,17.8,hold
en__095,audio/en__095.wav,1,19.0,19.2,hold
en__095,audio/en__095.wav,2,19.8,22.0,hold
en__095,audio/en__095.wav,3,24.1,25.0,hold
en__095,audio/en__095.wav,4,26.1,26.5,hold
en__095,audio/en__095.wav,5,29.5,30.801,eot
en__096,audio/en__096.wav,0,3.5,4.819,eot
en__097,audio/en__097.wav,0,2.0,2.3,hold
en__097,audio/en__097.wav,1,2.9,4.316,eot
en__098,audio/en__098.wav,0,5.5,6.88,eot
en__099,audio/en__099.wav,0,2.7,4.012,eot
